Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Wohnungsswap - Glogauer Straße;;.;;;60;2;2. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d8km5t
Wohnungsswap - Babelsberger Straße;;.;;;166;5;2. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d7km5t
Wohnungsswap - Steglitzer Damm;;.;;;55;2;3. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d5km5t
Wohnungsswap - Friedrichstraße;;.;;;46;2;9. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d4km5t
Wohnungsswap - Wiersichweg;;.;;;56;2;3. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d3km5t
Wohnungsswap - Hirtenstraße;;.;;;35;1;Erdgeschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dzjm5t
Wohnungsswap - Lottumstraße;;.;;;63;2;3. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d3hm5t
Wohnungsswap - Weserstraße;;.;;;73;3;2. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dygm5t
Wohnungsswap - Strausberger Platz;;.;;;82;2;6. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dugm5t
Wohnungsswap - Gothaer Straße;;.;;;56;3;Erdgeschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d9cm5t
Wohnungsswap - Gartenstraße;;.;;;88;3;1. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d5cm5t
Wohnungsswap - Zechliner Straße;;.;;;65;2;1. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dzbm5t
Wohnungsswap - Langer-See-Straße;;.;;;49;1;Erdgeschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dg6m5t
Wohnungsswap - Berliner Allee;;.;;;105;3;4. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2ds4m5t
2,5 Zimmer im ruhigen Reinickendorf;;425,16;155,63;1.275,48;62;2;5. Geschoss;13435 Berlin Wittenau;Bad mit Wanne, Loggia;;1965;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;C;Fernwärme;;https://www.immowelt.de/expose/2da3m5t
Ruhige 1-Zimmer-Wohnung im Seniorenwohnhaus ab 60 Jahren;;321,61;55,55;;31;1;5. Geschoss;13349 Berlin Wedding;Bad mit Wanne;;1976;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;C;Fernwärme;80,50;https://www.immowelt.de/expose/2d3yl5t
Niemanden über sich haben und ab sofort frei ***WBS mit besonderem Wohnbedarf***;790;502;160;1506,00  €;64;2;3. Geschoss;12305 Berlin Lichtenrade;;;1992;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;C;;91,30;https://www.immowelt.de/expose/2dtul5t
Netter Handwerker mit einem WBS mit besonderem Wohnbedarf ab sofort gesucht;;583,98;192;1751,94  €;79;3;2. Geschoss;12359 Berlin Buckow;Haustiere erlaubt;;1976;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;26.03.2024;D;;;https://www.immowelt.de/expose/2drul5t
Renovierte Wohnung zwingend für 2 Personen mit mittleren Einkommen kein WBS 100 oder 140;;439,44;160,86;1.318,34;64;2;7. Geschoss;13435 Berlin Märkisches Viertel;Bad mit Wanne;;1971;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;B;Fernwärme;69,10;https://www.immowelt.de/expose/2dstl5t
Wohnungsswap - Wolfshagener Straße;;.;;;134;5;3. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dptl5t
Gut geschnittene Wohnung mit Garten sucht nette Mieter ab sofort;1.225,39;786,39;209;2359,17  €;80;2;Erdgeschoss;12349 Berlin Buckow;;;1978;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;F;;;https://www.immowelt.de/expose/2djtl5t
Barrierearme Wohnung in Buckow mit Terrasse ab sofort frei;893,20;617,20;166;1851,60  €;63;2;Erdgeschoss;12349 Berlin Buckow;;;1978;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;sofort;F;;;https://www.immowelt.de/expose/2detl5t
Zwingend für 2 Personen mit mittlerem Einkommen, nicht WBS 100 oder 140;;428,94;151,65;1.286,83;62;2;10. Geschoss;13435 Berlin Märkisches Viertel;Bad mit Fenster und Wanne;;1970;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;C;Fernwärme;;https://www.immowelt.de/expose/2dfsl5t
***Coming Soon***-  modernisierte 3-Zimmerwohnung mit Balkon in Reinickendorf;1.426;1.198;228;2.396,00;74;2;1. Geschoss;13409 Berlin Reinickendorf;Bad mit Wanne;;1968;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;E;GAS;130,70;https://www.immowelt.de/expose/2dfrl5t
