Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
Dachgeschosswohnung mit Stil und Ausblick;1050;790;260;2000;84;2;5; 12489 Berlin, Adlershof;Möbliert, Keller, Altbau, Tiere erlaubt, modernisiert, Energieausweis in Vorbereitung;;1953;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;27.03.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34423368
WG-ONLY - 2ROOMS + SHARED LIVING ROOM - Homely WG in Kreuzberg / Schöneberg;1792;1500;186;2000;65;2.5;2; 10963 Berlin, Kreuzberg;Aufzug, Keller, Neubau, WG geeignet, Behindertengerecht, gepflegt, Energieausweis in Vorbereitung;;2007;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;01.05.2024;;Gas;;https://www.wohnungsboerse.net/immodetail/34306851
Wunderschöne 5 Zimmerwohnung am Bundesplatz!;2897,81;2510,90;386,91;7532,70;143;5;5; 10715 Berlin, Wilmersdorf;Aufzug, Keller, Neubau, renoviert, Energieausweis in Vorbereitung;;1965;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Öl;;https://www.wohnungsboerse.net/immodetail/34419309
Heller Altbau im Herzen Charlottenburgs;1790;1550;240;3580;60;2;4; 10627 Berlin, Charlottenburg;Möbliert, Aufzug, Altbau, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1900;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;B;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34399077
Charlottenburg-nahe Schlosspark, befristet;1800;1800;;;64.15;2.5;3; 10589 Berlin, Charlottenburg;Möbliert, Keller, Altbau, Wohnen auf Zeit, gepflegt, Energieausweis in Vorbereitung;;1929;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;09.08.2024;D;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33252542
Moderne Single-Apartments-Blick auf den Fernsehturm;850;660;190;1980,00;22.59;1;5; 10243 Berlin, Friedrichshain;Möbliert, Aufzug, Neubau, Erstbezug, Fussbodenheizung, Energieausweis in Vorbereitung;;2024;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;;;https://www.wohnungsboerse.net/immodetail/34374031
One bedroom available in a 104msq 3-bedroom shared apartment;766;666;100;1500;12.35;1;3; 10315 Berlin, Lichtenberg;Möbliert, Aufzug, Keller, Neubau, WG geeignet, Behindertengerecht, Teilmöbliert, modernisiert, Fussbodenheizung, Energieausweis in Vorbereitung;;2020;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;"ab sofort
                                        - Objekt ist vermietet";;;;https://www.wohnungsboerse.net/immodetail/34349230
Saniertes, modernes 1-Zimmer-Apartment mit Extra-Küche und Balkon;1100;750;350;2200;38;1;2; 12099 Berlin, Tempelhof;Möbliert, Keller, Altbau, Wohnen auf Zeit, vollständig renoviert, Energieausweis in Vorbereitung;;1920;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.08.2024;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/33696460
Sonnige Erdgeschosswohnung mit großer Terrasse in Mitte;1050;820;230;2460;48;2;; 10115 Berlin, Mitte;Möbliert, Aufzug, Keller, Neubau, Tiere erlaubt, Erstbezug, Fussbodenheizung, Verbrauchsausweis;;2016;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;10.04.2024;B;;;https://www.wohnungsboerse.net/immodetail/34297107
Geräumige 1-Zimmer-Erdgeschosswohnung mit EBK und Balkon in der Nähe des Helios Klinikums Berlin-Buch;920;500;420;1500;40;1;; 13125 Berlin, Buch;Keller, Altbau, renoviert, Energieausweis nicht notwendig (Denkmalschutz);;1909;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;ab sofort;;Fernwärme;;https://www.wohnungsboerse.net/immodetail/34276763
Kernsanierte Erstbezugswohnung mit drei Räumen und Einbauküche in Berlin;1600;1400;200;4200;60;3;; 10365 Berlin, Lichtenberg;Keller, Neubau, Erstbezug, Energieausweis in Vorbereitung;;1990;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;ab sofort;;;;https://www.wohnungsboerse.net/immodetail/34283779
